Scenario #,Category,Label,Auto-Check (rule engine),Expected Strategies,Actual Strategies Fired,Missing (rule did NOT fire — verify in AI chat),False Positives (rule fired incorrectly),AI Must Cover (auditor checklist),Auditor: Conversation Quality (1–5),Auditor: Tax Accuracy (1–5),Auditor: IRS Code References Correct? (Y / N / Partial),Auditor: Exactly ONE question per AI turn? (Y / N),Auditor: Any disclaimers 'consult a tax professional'? (Y/N — should be N),"Auditor: Priority Issues (P0 = wrong tax advice, P1 = missing strategy, P2 = UX)",Context / Notes
1,W2,"W2-01: Single, $60K, renter, no dependents",PASS,401(k) | IRA,Maximize 401(k) Contribution | Contribute to IRA | Student Loan Interest Deduction | Consider High-Deductible Health Plan with HSA,,,retirement contributions || standard deduction,,,,,,,FIXED P1-001: Saver's Credit now fires for single/HoH filers. Auditor: does AI mention Saver's Credit in conversation?
2,W2,"W2-02: Single, $120K, renter, no dependents",PASS,401(k) | IRA,Maximize 401(k) Contribution | Contribute to IRA | Consider High-Deductible Health Plan with HSA | Year-End Charitable Giving,,,IRA contribution limits and phase-out,,,,,,,IRA phase-out at $87K–$102K single — AI should mention backdoor Roth
3,W2,"W2-03: MFJ, $180K combined W-2, 2 kids",PASS,Child Tax Credit | Child and Dependent Care | 401(k),Maximize 401(k) Contribution | Child Tax Credit | Additional Child Tax Credit (Refundable) | Child and Dependent Care Credit | Contribute to IRA | Spousal IRA Contribution,,,Child Tax Credit phase-out || dependent care FSA vs credit,,,,,,,Classic family W-2 — both child credits must appear. SALT cap ($10K) is relevant.
4,W2,"W2-04: HoH filing status, $55K, 1 child under 13",PASS,Head of Household | Child Tax Credit | Child and Dependent Care,Maximize 401(k) Contribution | Earned Income Tax Credit (EITC) | Child Tax Credit | Additional Child Tax Credit (Refundable) | Consider Head of Household Status | Contribute to IRA,,,Head of Household qualification rules || Child Tax Credit full amount,,,,,,,"Single parent — HoH status saves ~$3,000 vs single. Detector must catch this."
5,W2,"W2-05: Single, $500K W-2",PASS,401(k),Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | Additional 0.9% Medicare Tax — Plan Pre-tax Contributions | Consider High-Deductible Health Plan with HSA | Year-End Charitable Giving,,,mega backdoor Roth || deferred compensation (NQDC),,,,,,,Ultra-high W-2 — AI should discuss NQDC plan and mega backdoor Roth beyond just 401k
6,W2,"W2-06: MFJ, $250K, owns home, age 52",PASS,401(k) | Consider Itemizing,Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | Spousal IRA Contribution | Consider Itemizing Deductions | Consider High-Deductible Health Plan with HSA,,,"catch-up contributions ($7,500 extra at age 50+) || itemizing vs standard deduction",,,,,,,Age 52 — catch-up 401k contribution must be discussed. Mortgage + SALT likely clears standard deduction.
7,W2,"W2-07: Single, $38K, HDHP enrolled",PASS,HSA | IRA,Contribute to IRA | Maximize HSA Contribution | Earned Income Tax Credit (EITC) | Student Loan Interest Deduction,,,HSA triple tax advantage || Saver's Credit (manual — rule has P1-001 bug),,,,,,,FIXED P1-001: Saver's Credit now auto-fires for single filers at correct threshold.
8,W2,"W2-08: MFJ, $420K, RSUs + capital gains, owns home",PASS,401(k) | Consider Itemizing,Maximize 401(k) Contribution | Consider Itemizing Deductions | Contribute to IRA | Backdoor Roth IRA | Net Investment Income Tax (NIIT) — 3.8% Surtax Alert | Quarterly Estimated Tax Payments Due,,,tax-loss harvesting (FIXED P1-003: now fires year-round) || NIIT at 3.8% on $600K total,,,,,,,FIXED P1-003: Tax-Loss Harvesting now fires year-round. Auditor: does AI bring it up unprompted?
9,SE,"SE-01: Sole prop, $80K net, renter, single",PASS,QBI | SEP-IRA | Self-Employment Tax Deduction,Maximize 401(k) Contribution | Solo 401(k) Beats SEP-IRA for Your Income Level | S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Qualified Business Income (QBI) Deduction | Contribute to IRA,,,§199A QBI deduction 20% || SEP-IRA up to 25% of net,,,,,,,FIXED P1-002: WOTC false positive fixed — only fires for entity types with employees.
10,SE,"SE-02: Freelancer, $45K, renter, single, age 27",PASS,QBI | SEP-IRA | Self-Employment Tax,Solo 401(k) Beats SEP-IRA for Your Income Level | S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Qualified Business Income (QBI) Deduction | Contribute to IRA | Self-Employment Tax Deduction,,,QBI deduction || SEP-IRA vs solo 401k tradeoff,,,,,,,Low SE — Defined Benefit correctly should NOT fire ($45K < $150K threshold). Good baseline.
11,SE,"SE-03: Consultant, $220K, owns home, MFJ, age 44",PASS,QBI | SEP-IRA | Home Office | Augusta,Defined Benefit / Cash Balance Plan — $100K–$300K Annual Deduction | S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Qualified Business Income (QBI) Deduction | Maximize 401(k) Contribution | Solo 401(k) Beats SEP-IRA for Your Income Level,,,"Augusta Rule (home rental to business, IRC §280A(g)) || Defined Benefit (FIXED P1-005: now fires at age 40+; age 44 qualifies)",,,,,,,FIXED P1-005: Defined Benefit now fires for age 40+. Age 44 qualifies.
12,SE,"SE-04: SE photographer, $95K, home studio, owns home",PASS,QBI | Home Office | SEP-IRA | §179,S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Maximize 401(k) Contribution | Solo 401(k) Beats SEP-IRA for Your Income Level | Qualified Business Income (QBI) Deduction | Augusta Rule — Tax-Free Home Rental to Your Business (IRC §280A(g)),,,§179 equipment deduction || home office actual vs simplified method,,,,,,,Equipment-heavy creative — §179 and home office both expected. Good test of specificity.
13,SE,"SE-05: SE doctor (SSTB), $350K, single",PASS,QBI Deduction Phase-Out,Defined Benefit / Cash Balance Plan — $100K–$300K Annual Deduction | S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Self-Employment Tax Deduction | Maximize 401(k) Contribution | Contribute to IRA,,,"SSTB phase-out above $241,950 single (2025) || Defined Benefit (FIXED P1-005: now fires at age 40+)",,,,,,,SSTB above threshold — phase-out WARNING must appear. Regular QBI must NOT. FIXED P1-005: Defined Benefit now fires for age 40+ — verify it appears in results.
14,SE,"SE-06: MFJ both SE, $160K combined, 2 kids, HDHP",PASS,QBI | SEP-IRA | HSA | Child Tax Credit,S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Qualified Business Income (QBI) Deduction | Maximize 401(k) Contribution | Solo 401(k) Beats SEP-IRA for Your Income Level | Child Tax Credit,,,"HSA family contribution limit ($8,550 + $1,000 catchup if 55+) || spousal IRA if spouse has lower SE income",,,,,,,SE family — all four strategies must appear. Complex interaction of QBI + Child credits.
15,SE,"SE-07: Airbnb host, $40K SE + $30K W2, owns home",PASS,QBI | SEP-IRA | Augusta,Maximize 401(k) Contribution | Solo 401(k) Beats SEP-IRA for Your Income Level | Augusta Rule — Tax-Free Home Rental to Your Business (IRC §280A(g)) | SEP-IRA for Self-Employed | Qualified Business Income (QBI) Deduction | Contribute to IRA,,,Augusta Rule 14-day rule (IRC §280A(g)) || Airbnb SE classification (Schedule C vs E),,,,,,,Augusta Rule is the single most valuable strategy here. Must fire AND be explained correctly.
16,SE,"SE-08: Tech contractor, $280K, MFJ, home office, age 42",PASS,QBI | SEP-IRA | Home Office | Augusta,Defined Benefit / Cash Balance Plan — $100K–$300K Annual Deduction | S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Qualified Business Income (QBI) Deduction | Maximize 401(k) Contribution | Self-Employment Tax Deduction,,,Defined Benefit (FIXED P1-005: now fires at age 40+; age 42 qualifies — $100K+ savings) || S-Corp election at $280K (could save $15K-$20K in SE tax),,,,,,,"FIXED P1-005: DB plan now fires at age 40+. Auditor: if AI doesn't mention Defined Benefit or S-Corp election unprompted, P0."
17,SE,"SE-09: Solo SE, $120K, has student loans",PASS,QBI | SEP-IRA,S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Qualified Business Income (QBI) Deduction | Maximize 401(k) Contribution | Solo 401(k) Beats SEP-IRA for Your Income Level | Self-Employment Tax Deduction,,,"student loan interest deduction ceiling ($2,500 above-the-line) || phase-out $80K–$95K single — at $120K SE, deduction is fully phased out after SE adj. || rule engine correctly does NOT fire (phased out); AI should still mention phase-out context",,,,,,,"SE + student loans — at $120K SE income, actual AGI after 50% SE deduction is ~$111K, above the $95K phase-out ceiling. Student Loan Interest deduction is N/A. Auditor: does AI correctly explain the phase-out? If AI incorrectly says they can take it, P0."
18,SE,"SE-10: Creative, $65K SE, HDHP, renter, home office",PASS,QBI | SEP-IRA | HSA | Home Office,Maximize 401(k) Contribution | Solo 401(k) Beats SEP-IRA for Your Income Level | S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Qualified Business Income (QBI) Deduction | Contribute to IRA,,,"Augusta Rule does NOT apply (renter) || HSA individual contribution limit ($4,300)",,,,,,,Renter with HDHP — Augusta must NOT fire. Correct non-fire is as important as correct fire.
19,SCORP,"SCORP-01: S-Corp owner, $200K distributions, single",PASS,QBI,Qualified Business Income (QBI) Deduction | Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | Quarterly Estimated Tax Payments Due | Consider High-Deductible Health Plan with HSA,,,"S-Corp 401k plan (not SEP-IRA) — owner can contribute $23,500 + profit sharing || reasonable salary requirement for S-Corp owners",,,,,,,NOTE P1-006: business_net_income set directly in test profile so QBI fires correctly. Auditor: AI must explain S-Corp 401k vs SEP-IRA distinction.
20,SCORP,"SCORP-02: S-Corp owner, $400K, MFJ, owns home, age 46",PASS,QBI | Defined Benefit | Augusta | Home Office,Defined Benefit / Cash Balance Plan — $100K–$300K Annual Deduction | Qualified Business Income (QBI) Deduction | Maximize 401(k) Contribution | Augusta Rule — Tax-Free Home Rental to Your Business (IRC §280A(g)) | Consider Itemizing Deductions | Contribute to IRA,,,Defined Benefit through S-Corp (age 46+ qualifies) || Augusta Rule — rent home to S-Corp for board meetings,,,,,,,"High S-Corp, age 46 — Defined Benefit is legal through S-Corp. Augusta key strategy."
21,SCORP,"SCORP-03: S-Corp SSTB law firm, $500K, MFJ",PASS,QBI Deduction Phase-Out | Defined Benefit,Defined Benefit / Cash Balance Plan — $100K–$300K Annual Deduction | Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | Quarterly Estimated Tax Payments Due | Consider High-Deductible Health Plan with HSA,,,"SSTB above MFJ $383,900 phase-out threshold || Defined Benefit reduces AGI potentially below SSTB threshold",,,,,,,"SSTB law firm fully phased out — phase-out warning must appear, NOT regular QBI. DB plan ALSO expected (age 48)."
22,SCORP,"SCORP-04: S-Corp, $180K, equipment purchases",PASS,QBI | §179,Defined Benefit / Cash Balance Plan — $100K–$300K Annual Deduction | Qualified Business Income (QBI) Deduction | Maximize 401(k) Contribution | Contribute to IRA | Quarterly Estimated Tax Payments Due | Student Loan Interest Deduction,,,§179 expensing up to $1.16M || bonus depreciation at 60% for 2025,,,,,,,S-Corp with equipment — §179 fires for any has_business=True. Good baseline.
23,SCORP,"SCORP-05: S-Corp, $90K, MFJ, year 1",PASS,QBI,Maximize 401(k) Contribution | Qualified Business Income (QBI) Deduction | Contribute to IRA | Quarterly Estimated Tax Payments Due | Student Loan Interest Deduction | Consider High-Deductible Health Plan with HSA,,,S-Corp salary election (reasonable compensation IRS rule) || SE tax savings from S-Corp vs sole prop on $90K,,,,,,,New S-Corp — Defined Benefit correctly should NOT fire (income $90K < $150K threshold). AI should explain why S-Corp election makes sense at this income.
24,SCORP,"SCORP-06: S-Corp tech startup, $320K, R&D activities",PASS,QBI | R&D Tax Credit,Qualified Business Income (QBI) Deduction | Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | R&D Tax Credit (IRC §41) — 20% Credit on Qualified Research Expenses | Quarterly Estimated Tax Payments Due,,,R&D credit (§41) — software development qualifies || Defined Benefit (NOTE: age 37 < 40 — still below new threshold; auditor verify AI covers it),,,,,,,"NOTE P1-005: age 37 < 40, DB plan won't auto-fire. Auditor: does AI still recommend it?"
25,SCORP,"SCORP-07: S-Corp owner, $150K, MFJ, W-2 spouse $80K",PASS,QBI | 401(k),Defined Benefit / Cash Balance Plan — $100K–$300K Annual Deduction | Qualified Business Income (QBI) Deduction | Maximize 401(k) Contribution | Contribute to IRA | Spousal IRA Contribution | Quarterly Estimated Tax Payments Due,,,spouse W-2 401k AND S-Corp 401k plan (two separate plans) || spousal IRA backdoor if W-2 spouse has employer plan,,,,,,,Both spouses — 401k strategy should mention BOTH plans. Two different contribution pools.
26,SCORP,"SCORP-08: S-Corp, $260K, owns home outright",PASS,QBI | Augusta,Defined Benefit / Cash Balance Plan — $100K–$300K Annual Deduction | Qualified Business Income (QBI) Deduction | Maximize 401(k) Contribution | Augusta Rule — Tax-Free Home Rental to Your Business (IRC §280A(g)) | Contribute to IRA | Backdoor Roth IRA,,,Augusta Rule fires even with no mortgage (paid-off home qualifies) || S-Corp can pay rent to owner for board meetings — §280A(g),,,,,,,Augusta Rule edge case — paid-off homeowner. BUG PREVIOUSLY FIXED in QA scenarios. Verify still works.
27,REALESTATE,"RE-01: Single rental $25K, W-2 $90K",PASS,401(k) | Consider Itemizing,Maximize 401(k) Contribution | Consider Itemizing Deductions | Contribute to IRA | IRC §1031 Like-Kind Exchange — Defer Capital Gains on Property Sale | Consider High-Deductible Health Plan with HSA | Year-End Charitable Giving,,,passive activity loss rules for rental income || Cost Segregation not applicable below ~$500K property value,,,,,,,Small landlord — Cost Segregation correctly should NOT fire. Verify threshold respected.
28,REALESTATE,"RE-02: 3 rentals, $80K income, W-2 $120K, MFJ",PASS,Cost Segregation | 401(k),Cost Segregation Study — Accelerate $15K–$50K+ in Depreciation | Maximize 401(k) Contribution | Contribute to IRA | IRC §1031 Like-Kind Exchange — Defer Capital Gains on Property Sale | Consider High-Deductible Health Plan with HSA | Year-End Charitable Giving,,,Cost Segregation study timeline and cost || $15K–$50K first-year bonus depreciation,,,,,,,Multi-property investor — Cost Segregation must fire and be explained with context.
29,REALESTATE,"RE-03: Real estate professional, $200K rental, no W-2",PASS,Cost Segregation,Cost Segregation Study — Accelerate $15K–$50K+ in Depreciation | Defined Benefit / Cash Balance Plan — $100K–$300K Annual Deduction | Maximize 401(k) Contribution | Augusta Rule — Tax-Free Home Rental to Your Business (IRC §280A(g)) | Contribute to IRA | Backdoor Roth IRA,,,"Real estate professional status — 750 hours test (IRC §469(c)(7)) || self-employment retirement options (rental is passive, not SE)",,,,,,,Full-time RE investor — must discuss real estate professional status for loss deductibility.
30,REALESTATE,"RE-04: Short-term rentals (STR), $60K, W-2 $140K",PASS,Cost Segregation | 401(k),Cost Segregation Study — Accelerate $15K–$50K+ in Depreciation | Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | IRC §1031 Like-Kind Exchange — Defer Capital Gains on Property Sale | Consider High-Deductible Health Plan with HSA,,,STR material participation (7-day rule) || Cost Segregation accelerates STR depreciation most aggressively,,,,,,,STR is #1 target use case for CA4CPA. AI must explain STR-specific rules correctly.
31,REALESTATE,"RE-05: MFJ, $180K rental + $200K W-2, high income",PASS,Cost Segregation | 401(k) | Consider Itemizing,Cost Segregation Study — Accelerate $15K–$50K+ in Depreciation | Maximize 401(k) Contribution | Net Investment Income Tax (NIIT) — 3.8% Surtax Alert | Consider Itemizing Deductions | Contribute to IRA | Backdoor Roth IRA,,,"NIIT applies to rental income at $380K total (3.8% on $180K = $6,840) || passive activity rules and real estate professional election",,,,,,,NIIT is material here. AI must discuss it. Cost Seg + itemizing both expected.
32,REALESTATE,"RE-06: Accidental landlord, $18K rental, W-2 $75K",PASS,401(k),Maximize 401(k) Contribution | Contribute to IRA | Consider Itemizing Deductions | Student Loan Interest Deduction | Consider High-Deductible Health Plan with HSA | Year-End Charitable Giving,,,"rental income reporting on Schedule E || deductible rental expenses (repairs, depreciation, management fees)",,,,,,,Small landlord — no big strategies available. AI must acknowledge this honestly.
33,REALESTATE,"RE-07: K-1 passive investor, $45K K-1, W-2 $160K",PASS,401(k),Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | Consider High-Deductible Health Plan with HSA | Year-End Charitable Giving,,,passive activity loss rules — K-1 losses suspended unless passive income exists || NIIT applies to K-1 passive income above $200K threshold,,,,,,,K-1 passive — limited strategies via rules engine. AI conversation quality is the test.
34,REALESTATE,"RE-08: MFJ, $300K rental portfolio, age 52",PASS,Cost Segregation | Defined Benefit | Year-End Charitable,Cost Segregation Study — Accelerate $15K–$50K+ in Depreciation | Defined Benefit / Cash Balance Plan — $100K–$300K Annual Deduction | Maximize 401(k) Contribution | Augusta Rule — Tax-Free Home Rental to Your Business (IRC §280A(g)) | Net Investment Income Tax (NIIT) — 3.8% Surtax Alert | Contribute to IRA,,,real estate professional status for $300K portfolio || Defined Benefit plan funded through RE management LLC (age 52 qualifies),,,,,,,Age 52 — Defined Benefit qualifies. Large portfolio warrants Cost Seg AND DB plan discussion.
35,HIGHINCOME,"HI-01: Single, $350K W-2, RSUs, capital gains",PASS,401(k),Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | Net Investment Income Tax (NIIT) — 3.8% Surtax Alert | Quarterly Estimated Tax Payments Due | Additional 0.9% Medicare Tax — Plan Pre-tax Contributions,,,tax-loss harvesting (FIXED P1-003: now fires year-round) || year-end charitable giving with appreciated stock || NIIT on $80K capital gains + $15K dividends,,,,,,,FIXED P1-003: tax-loss harvesting now auto-fires year-round.
36,HIGHINCOME,"HI-02: MFJ, $500K combined W-2",PASS,401(k) | Consider Itemizing,Maximize 401(k) Contribution | Consider Itemizing Deductions | Contribute to IRA | Backdoor Roth IRA | Spousal IRA Contribution | Additional 0.9% Medicare Tax — Plan Pre-tax Contributions,,,backdoor Roth IRA (income too high for direct contribution) || mega backdoor Roth via after-tax 401k,,,,,,,Very high W-2 — backdoor Roth is the most actionable strategy. AI must mention it.
37,HIGHINCOME,"HI-03: Single, $420K, ISO options, CA resident",PASS,401(k),Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | Net Investment Income Tax (NIIT) — 3.8% Surtax Alert | Quarterly Estimated Tax Payments Due | Additional 0.9% Medicare Tax — Plan Pre-tax Contributions,,,AMT risk on ISOs ($120K gain) || CA state tax (13.3%) has no preferential capital gains rate,,,,,,,ISO/options in CA — AMT is critical. AI must address CA state tax implications.
38,HIGHINCOME,"HI-04: MFJ, $380K, 3 kids, college student",PASS,Child Tax Credit | American Opportunity | 401(k) | Consider Itemizing,Child Tax Credit | Maximize 401(k) Contribution | Additional Child Tax Credit (Refundable) | Consider Itemizing Deductions | American Opportunity Tax Credit | Contribute to IRA,,,"American Opportunity Credit ($2,500/student) — phases out at $180K MFJ || 529 plan contribution for remaining college years",,,,,,,AOTC phases out at $180K–$200K MFJ but $380K is WAY above — AOTC rule may over-fire. Auditor: does the rule correctly handle income phase-outs?
39,HIGHINCOME,"HI-05: Single, $310K W-2, age 55",PASS,401(k) | Consider Itemizing,Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | Consider Itemizing Deductions | Additional 0.9% Medicare Tax — Plan Pre-tax Contributions | Consider High-Deductible Health Plan with HSA,,,"catch-up 401k contribution: $23,500 + $7,500 = $31,000 total at age 55 || SUPER catch-up at age 60–63: $34,750 in 2025",,,,,,,Age 55 catch-up — AI must mention both regular catch-up AND super catch-up if applicable.
40,HIGHINCOME,"HI-06: MFJ, $600K total, heavy investment income — NIIT",PASS,401(k),Maximize 401(k) Contribution | Net Investment Income Tax (NIIT) — 3.8% Surtax Alert | Contribute to IRA | Backdoor Roth IRA | Quarterly Estimated Tax Payments Due | Additional 0.9% Medicare Tax — Plan Pre-tax Contributions,,,"NIIT 3.8% on $200K net investment income = $7,600 liability || strategies to reduce NII: maximize 401k, real estate losses",,,,,,,"NIIT-heavy — $200K NII * 3.8% = $7,600. AI must discuss NIIT mitigation strategies."
41,COMPLEX,"MX-01: W-2 + SE side hustle, $140K + $45K, home office",PASS,QBI | SEP-IRA | Home Office | 401(k),Maximize 401(k) Contribution | Solo 401(k) Beats SEP-IRA for Your Income Level | Augusta Rule — Tax-Free Home Rental to Your Business (IRC §280A(g)) | S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Qualified Business Income (QBI) Deduction,,,SEP-IRA AND W-2 401k can coexist — different contribution pools || home office deduction only for SE portion of home,,,,,,,Classic dual-income setup. Both retirement vehicles expected. AI must explain why BOTH 401k and SEP-IRA are available.
42,COMPLEX,"MX-02: Divorced HoH, 2 kids, $85K W-2 + $20K SE",PASS,Head of Household | Child Tax Credit | Child and Dependent Care | QBI,Maximize 401(k) Contribution | Child Tax Credit | Additional Child Tax Credit (Refundable) | Child and Dependent Care Credit | Consider Head of Household Status | Contribute to IRA,,,"Head of Household — saves $3,000 vs single filer || Child Tax Credit + Dependent Care Credit can stack",,,,,,,All 4 expected strategies must fire. Complex interaction of family + SE credits.
43,COMPLEX,"MX-03: Retired couple, SS + RMDs, age 68/65",PASS,401(k) | IRA | Compare Joint,Maximize 401(k) Contribution | Contribute to IRA | Spousal IRA Contribution | Additional Standard Deduction for Age 65+ | Student Loan Interest Deduction | Donor-Advised Fund — Bunch Charitable Giving for a Bigger Deduction,,,"Qualified Charitable Distribution (QCD) from IRA — satisfies RMD, excludes from AGI || standard deduction for seniors ($16,550 single, $33,100 MFJ in 2025) || itemized ($20K) is less than senior MFJ standard (~$32K) — standard deduction wins || Deduction Bunching: $9K gap to itemizing, could bunch 2 years of charitable into one",,,,,,,"QCD strategy is the #1 strategy for retirees with RMDs. Rule engine won't find it. Already has $5K charitable so Year-End Charitable reminder doesn't fire (correct). Itemized $20K is within $9K of standard — Deduction Bunching fires. Auditor: does AI proactively mention QCD? If not, P1."
44,COMPLEX,"MX-04: SE + rental + W-2 spouse, all three income types",PASS,QBI | SEP-IRA | Home Office | Cost Segregation | 401(k),Defined Benefit / Cash Balance Plan — $100K–$300K Annual Deduction | Cost Segregation Study — Accelerate $15K–$50K+ in Depreciation | S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Maximize 401(k) Contribution | Solo 401(k) Beats SEP-IRA for Your Income Level,,,"three income streams, three different tax treatments || SE health insurance deduction (often missed for SE + rental combo)",,,,,,,All 5 strategies must fire. Most complex valid scenario. Good overall integration test.
45,COMPLEX,"MX-05: New parent, $130K W-2, had baby, HDHP",PASS,Child Tax Credit | Child and Dependent Care | HSA | 401(k),Maximize 401(k) Contribution | Maximize HSA Contribution | Child Tax Credit | Additional Child Tax Credit (Refundable) | Consider Head of Household Status | Contribute to IRA,,,"HSA switches to family limit ($8,550) after baby || Dependent Care FSA ($5,000 pre-tax) vs Child Care Credit",,,,,,,Life event: new baby. HSA family limit change is a common missed point.
46,COMPLEX,"MX-06: Just married, both high-W2, $180K + $160K",PASS,Compare Joint vs. Separate | 401(k),Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | Spousal IRA Contribution | Additional 0.9% Medicare Tax — Plan Pre-tax Contributions | Consider High-Deductible Health Plan with HSA,,,marriage penalty at $340K combined (both in 32% bracket) || MFJ vs MFS calculation — is separate filing worth it?,,,,,,,Marriage penalty — 'Compare Joint vs Separate' strategy must fire. New couple.
47,COMPLEX,"MX-07: SE + college student dependent, $110K",PASS,QBI | SEP-IRA | American Opportunity,S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Maximize 401(k) Contribution | Solo 401(k) Beats SEP-IRA for Your Income Level | Qualified Business Income (QBI) Deduction | American Opportunity Tax Credit,,,"AOTC phases out at $90K single — at $110K SE pre-deductions, after QBI + SE deductions AGI may fall below phase-out || Lifetime Learning Credit as alternative if AOTC phases out",,,,,,,Income near AOTC phase-out. AI should calculate actual AGI after SE deductions.
48,COMPLEX,"MX-08: First-year homeowner, $175K W-2",PASS,401(k) | Consider Itemizing,Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | Consider Itemizing Deductions | Consider High-Deductible Health Plan with HSA | Year-End Charitable Giving,,,itemizing: $12K mortgage + $7K property = $19K > $15K standard deduction || points paid at closing (deductible in year of purchase),,,,,,,New homeowner — itemizing should be close call at $19K vs $15K standard. AI must walk through the actual numbers.
49,COMPLEX,"MX-09: MFS for PSLF, $140K income",PASS,Compare Joint vs. Separate | 401(k),Maximize 401(k) Contribution | Contribute to IRA | Backdoor Roth IRA | Additional 0.9% Medicare Tax — Plan Pre-tax Contributions | Consider High-Deductible Health Plan with HSA | Year-End Charitable Giving,,,Public Service Loan Forgiveness — MFS keeps IDR payments lower || tax cost of MFS vs PSLF benefit calculation,,,,,,,PSLF scenario — AI must understand WHY MFS is being chosen and validate the math.
50,COMPLEX,MX-10: Augusta Rule edge — owns paid-off vacation home,PASS,Augusta | QBI | SEP-IRA,S-Corp Election — Save SE Tax on Business Income | SEP-IRA for Self-Employed | Qualified Business Income (QBI) Deduction | Maximize 401(k) Contribution | Solo 401(k) Beats SEP-IRA for Your Income Level | Augusta Rule — Tax-Free Home Rental to Your Business (IRC §280A(g)),,,Augusta Rule fires even with NO mortgage (paid-off home qualifies) || 14-day rule and fair market rental rate documentation,,,,,,,Augusta Rule edge case. Previously broken — fixed in QA. Verify still correct. Paid-off home must work — common misconception that mortgage required.
