d1_surface,d2_module_group,d3_module,d3_prefixes,d4_actions,endpoint_count,auth_pattern,explicit_role_checks_in_module,guest_public,core_consumer,core_cpa_client,core_cpa_team,core_platform_admin,rbac_partner_staff,rbac_platform_suite,portal_client_token,risk_flags,sample_endpoints,source_file
Admin Panel API,Firm Admin Ops,alert_routes.py,"alerts, notifications",read/list | create/action | update,18,firm_admin_gate,no,no,no,no,no,no,partial(partner_only),no,no,,GET /alerts; GET /alerts/summary; GET /alerts/{alert_id}; POST /alerts/{alert_id}/acknowledge,src/admin_panel/api/alert_routes.py
Admin Panel API,Firm Admin Ops,auth_routes.py,/auth,read/list | create/action | delete,11,admin_auth,no,no,no,no,no,no,yes,yes,no,,POST /auth/login; POST /auth/logout; POST /auth/refresh; POST /auth/password/change,src/admin_panel/api/auth_routes.py
Admin Panel API,Firm Admin Ops,billing_routes.py,/billing,read/list | create/action | review | billing | payments,9,permission_gate,no,no,no,no,no,no,partial(permission_based),partial(permission_based),no,,GET /billing/subscription; GET /billing/usage; GET /billing/plans; POST /billing/upgrade/preview,src/admin_panel/api/billing_routes.py
Admin Panel API,Firm Admin Ops,client_routes.py,clients,read/list | create/action | update | status | clients,15,firm_admin_gate,no,no,no,no,no,no,partial(partner_only),no,no,,GET /clients; GET /clients/{client_id}; GET /clients/unassigned; POST /clients/assign,src/admin_panel/api/client_routes.py
Admin Panel API,Firm Admin Ops,compliance_routes.py,"audit, compliance, security",read/list | create/action | status | reporting,13,firm_admin_gate,no,no,no,no,no,no,partial(partner_only),no,no,,GET /audit/logs; GET /audit/logs/{log_id}; GET /audit/actions; GET /audit/activity/summary,src/admin_panel/api/compliance_routes.py
Admin Panel API,Firm Admin Ops,dashboard_routes.py,dashboard,read/list | create/action,5,admin_auth,no,no,no,no,no,no,yes,yes,no,,GET /dashboard; GET /dashboard/alerts; POST /dashboard/alerts/{alert_id}/read; GET /dashboard/activity,src/admin_panel/api/dashboard_routes.py
Admin Panel API,Firm Admin Ops,platform_billing_routes.py,/platform-billing,read/list | create/action | billing | payments | settings,8,platform_admin_gate,no,no,no,no,no,no,no,yes,no,,GET /platform-billing/settings; GET /platform-billing/tiers; GET /platform-billing/revenue; GET /platform-billing/bank-details/{method},src/admin_panel/api/platform_billing_routes.py
Admin Panel API,Firm Admin Ops,rbac_routes.py,/admin/rbac,read/list | create/action | update | delete,11,platform_admin_gate,no,no,no,no,no,no,no,yes,no,,GET /admin/rbac/permissions; GET /admin/rbac/roles; POST /admin/rbac/roles; GET /admin/rbac/roles/{role_id},src/admin_panel/api/rbac_routes.py
Admin Panel API,Firm Admin Ops,settings_routes.py,/settings,read/list | create/action | update | delete | settings,11,firm_admin_gate,no,no,no,no,no,no,partial(partner_only),no,no,,GET /settings; GET /settings/profile; PUT /settings/profile; GET /settings/branding,src/admin_panel/api/settings_routes.py
Admin Panel API,Firm Admin Ops,team_routes.py,/team,read/list | create/action | update | delete | team,10,firm_admin_gate,yes,no,no,no,no,no,partial(partner_only),no,no,,GET /team; POST /team; GET /team/{user_id}; PUT /team/{user_id},src/admin_panel/api/team_routes.py
Admin Panel API,Firm Admin Ops,ticket_routes.py,/tickets,read/list | create/action | update | delete | status,26,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /tickets; GET /tickets/{ticket_id}; PUT /tickets/{ticket_id}; DELETE /tickets/{ticket_id},src/admin_panel/api/ticket_routes.py
Admin Panel API,Firm Admin Ops,workflow_routes.py,"deadlines, review-queue, tasks",read/list | create/action | update | delete | review | queue | returns | workflow,16,permission_gate,no,no,no,no,no,no,partial(permission_based),partial(permission_based),no,,GET /workflow/overview; GET /workflow/queue; GET /workflow/item/{return_id}; POST /workflow/{return_id}/advance,src/admin_panel/api/workflow_routes.py
Admin Panel API,Platform Ops,superadmin_routes.py,"activity, audit, dashboard",read/list | create/action | update | delete | status,36,platform_admin_gate,no,no,no,no,no,no,no,yes,no,,GET /firms; GET /firms/{firm_id}; POST /firms/{firm_id}/impersonate; GET /impersonation/active,src/admin_panel/api/superadmin_routes.py
CPA Panel API,CPA Practice Ops,aggregated_insights_routes.py,/insights,read/list | clients,4,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,GET /insights/aggregate; GET /insights/categories; GET /insights/client/{session_id}; GET /insights/summary,src/cpa_panel/api/aggregated_insights_routes.py
CPA Panel API,CPA Practice Ops,analysis_routes.py,returns,read/list | create/action | scenarios | returns,4,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /returns/{session_id}/delta; GET /returns/{session_id}/tax-drivers; POST /returns/{session_id}/compare-scenarios; GET /returns/{session_id}/suggested-scenarios,src/cpa_panel/api/analysis_routes.py
CPA Panel API,CPA Practice Ops,appointment_routes.py,/appointments,read/list | create/action | update | delete | status | clients,22,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /appointments/availability; GET /appointments/availability/{cpa_id}; POST /appointments/availability/{cpa_id}/block-date; DELETE /appointments/availability/{cpa_id}/block-date,src/cpa_panel/api/appointment_routes.py
CPA Panel API,CPA Practice Ops,client_visibility_routes.py,/client,read/list | create/action | update | status | documents | clients,5,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,GET /client/status/{session_id}; POST /client/documents/{session_id}/upload; GET /client/documents/{session_id}; POST /client/internal/sessions/{session_id}/setup,src/cpa_panel/api/client_visibility_routes.py
CPA Panel API,CPA Practice Ops,data_routes.py,data,read/list | returns | clients,8,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,GET /data/clients; GET /data/clients/{client_id}; GET /data/tax-returns; GET /data/tax-returns/{session_id},src/cpa_panel/api/data_routes.py
CPA Panel API,CPA Practice Ops,deadline_routes.py,/deadlines,read/list | create/action | update | delete | clients,22,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /deadlines; GET /deadlines/{deadline_id}; PUT /deadlines/{deadline_id}; DELETE /deadlines/{deadline_id},src/cpa_panel/api/deadline_routes.py
CPA Panel API,CPA Practice Ops,document_routes.py,"documents, session",read/list | create/action | documents,6,core_jwt,no,no,yes,yes,yes,yes,no,no,no,,POST /session/{session_id}/documents/upload; GET /session/{session_id}/documents; GET /session/{session_id}/documents/{document_id}; GET /session/{session_id}/documents/{document_id}/extracted,src/cpa_panel/api/document_routes.py
CPA Panel API,CPA Practice Ops,engagement_routes.py,/engagement,read/list | create/action,7,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /engagement/letters/generate; GET /engagement/letters/{letter_id}; GET /engagement/letters/session/{session_id}; POST /engagement/letters/{letter_id}/send-for-signature,src/cpa_panel/api/engagement_routes.py
CPA Panel API,CPA Practice Ops,exposure_routes.py,"exposure, prospect",read/list,5,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,GET /prospect/{session_id}/discovery; GET /prospect/{session_id}/outcome; GET /prospect/{session_id}/complexity; GET /prospect/{session_id}/drivers,src/cpa_panel/api/exposure_routes.py
CPA Panel API,CPA Practice Ops,funnel_routes.py,/funnel,read/list | create/action | reporting,7,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /funnel/process-lead; POST /funnel/generate-report; POST /funnel/calculate-fee; POST /funnel/register-cpa,src/cpa_panel/api/funnel_routes.py
CPA Panel API,CPA Practice Ops,insights_routes.py,"returns, session",read/list | create/action | review | returns | clients,5,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,GET /returns/{session_id}/insights; GET /returns/{session_id}/review-checklist; GET /session/{session_id}/insights/ai-enhanced; POST /session/{session_id}/insights/explain/{recommendation_id},src/cpa_panel/api/insights_routes.py
CPA Panel API,CPA Practice Ops,intake_routes.py,clients,read/list | create/action | submission | status | documents | clients,10,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /clients/intake/start; POST /clients/{session_id}/info; POST /clients/{session_id}/documents; GET /clients/{session_id}/documents,src/cpa_panel/api/intake_routes.py
CPA Panel API,CPA Practice Ops,invoice_routes.py,"/invoices, /payment-links, /payments",read/list | create/action | update | status | payments,19,core_jwt,no,no,yes,yes,yes,yes,no,no,no,,POST /invoices; GET /invoices; GET /invoices/firm; GET /invoices/overdue,src/cpa_panel/api/invoice_routes.py
CPA Panel API,CPA Practice Ops,lead_generation_routes.py,/leads,read/list | create/action | status,14,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /leads/estimate; POST /leads/upload; POST /leads/{lead_id}/contact; GET /leads/pipeline,src/cpa_panel/api/lead_generation_routes.py
CPA Panel API,CPA Practice Ops,lead_magnet_routes.py,/lead-magnet,read/list | create/action | update | reporting,16,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /lead-magnet/start; POST /lead-magnet/{session_id}/profile; POST /lead-magnet/{session_id}/contact; GET /lead-magnet/{session_id}/report,src/cpa_panel/api/lead_magnet_routes.py
CPA Panel API,CPA Practice Ops,lead_routes.py,"leads, signals, states",read/list | create/action | queue,11,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,GET /leads/{lead_id}; POST /leads; POST /leads/{lead_id}/signals; POST /leads/{lead_id}/signals/batch,src/cpa_panel/api/lead_routes.py
CPA Panel API,CPA Practice Ops,notes_routes.py,returns,read/list | create/action | delete | returns,3,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /returns/{session_id}/notes; GET /returns/{session_id}/notes; DELETE /returns/{session_id}/notes/{note_id},src/cpa_panel/api/notes_routes.py
CPA Panel API,CPA Practice Ops,notification_routes.py,"notifications, reminders",read/list | create/action | update,9,request_state_auth,no,no,no,no,no,no,yes,yes,no,P1_PARTIAL_AUTH_GAPS,GET /notifications; POST /notifications/mark-read; POST /notifications/mark-all-read; GET /notifications/preferences,src/cpa_panel/api/notification_routes.py
CPA Panel API,CPA Practice Ops,optimizer_routes.py,session,read/list | create/action | status,6,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /session/{session_id}/credits/analyze; POST /session/{session_id}/deductions/analyze; POST /session/{session_id}/filing-status/compare; POST /session/{session_id}/entity/compare,src/cpa_panel/api/optimizer_routes.py
CPA Panel API,CPA Practice Ops,payment_settings_routes.py,/payment-settings,read/list | create/action | update | status | payments | settings,8,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,GET /payment-settings/; PUT /payment-settings/; GET /payment-settings/stripe/connect-url; GET /payment-settings/stripe/callback,src/cpa_panel/api/payment_settings_routes.py
CPA Panel API,CPA Practice Ops,pipeline_routes.py,leads,read/list | create/action | queue,6,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,GET /leads/pipeline; GET /leads/pipeline/metrics; GET /leads/pipeline/conversion; GET /leads/pipeline/velocity,src/cpa_panel/api/pipeline_routes.py
CPA Panel API,CPA Practice Ops,practice_intelligence_routes.py,/intelligence,read/list | create/action,6,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,GET /intelligence/metrics; POST /intelligence/metrics/calculate; GET /intelligence/advisory-mix; GET /intelligence/complexity-distribution,src/cpa_panel/api/practice_intelligence_routes.py
CPA Panel API,CPA Practice Ops,pricing_routes.py,"pricing, session",read/list | create/action,3,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /session/{session_id}/pricing/calculate; GET /pricing/tiers; POST /session/{session_id}/pricing/quote,src/cpa_panel/api/pricing_routes.py
CPA Panel API,CPA Practice Ops,report_routes.py,session,read/list | create/action | reporting,3,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /session/{session_id}/report/generate; GET /session/{session_id}/report/download; GET /session/{session_id}/report/sections,src/cpa_panel/api/report_routes.py
CPA Panel API,CPA Practice Ops,scenario_routes.py,"scenarios, session",read/list | create/action | scenarios,6,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /session/{session_id}/scenarios/compare; POST /session/{session_id}/scenarios/compare-templates; GET /session/{session_id}/scenarios/templates; GET /scenarios/categories,src/cpa_panel/api/scenario_routes.py
CPA Panel API,CPA Practice Ops,smart_onboarding_routes.py,/onboarding,read/list | create/action | clients,10,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /onboarding/start; POST /onboarding/{session_id}/upload; GET /onboarding/{session_id}/questions; POST /onboarding/{session_id}/answers,src/cpa_panel/api/smart_onboarding_routes.py
CPA Panel API,CPA Practice Ops,staff_routes.py,/staff,read/list | create/action | delete,8,core_jwt,no,no,yes,yes,yes,yes,no,no,no,,POST /staff/members; GET /staff/members; POST /staff/assignments; DELETE /staff/assignments/{session_id},src/cpa_panel/api/staff_routes.py
CPA Panel API,CPA Practice Ops,task_routes.py,/tasks,read/list | create/action | update | delete | status | clients,33,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,POST /tasks; POST /tasks/from-template; GET /tasks/{task_id}; PUT /tasks/{task_id},src/cpa_panel/api/task_routes.py
CPA Panel API,CPA Practice Ops,workflow_routes.py,"queue, returns",read/list | create/action | approval | review | submission | queue | status | returns,8,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_OPEN_INTERNAL_API,GET /returns/{session_id}/status; POST /returns/{session_id}/submit-for-review; POST /returns/{session_id}/approve; POST /returns/{session_id}/revert,src/cpa_panel/api/workflow_routes.py
CPA Panel API,Client Portal,client_portal_routes.py,/client,read/list | create/action | update | billing | documents | returns | clients,20,client_token,no,no,no,no,no,no,no,no,yes,,POST /client/login; POST /client/verify-token; GET /client/dashboard; GET /client/returns,src/cpa_panel/api/client_portal_routes.py
Core API,Unified Core Platform,auth_routes.py,/auth,read/list | create/action,11,core_jwt,yes,no,yes,yes,yes,yes,no,no,no,,POST /auth/login; POST /auth/magic-link; GET /auth/magic-link/verify; POST /auth/register,src/core/api/auth_routes.py
Core API,Unified Core Platform,billing_routes.py,/billing,read/list | create/action | delete | billing | payments,16,core_jwt,yes,no,yes,yes,yes,yes,no,no,no,,GET /billing/plans; GET /billing/plans/{plan_id}; GET /billing/subscription; POST /billing/subscription,src/core/api/billing_routes.py
Core API,Unified Core Platform,documents_routes.py,/documents,read/list | create/action | update | delete | documents,11,core_jwt,yes,no,yes,yes,yes,yes,no,no,no,,GET /documents; GET /documents/my; GET /documents/{document_id}; POST /documents,src/core/api/documents_routes.py
Core API,Unified Core Platform,messaging_routes.py,/messages,read/list | create/action | delete,12,core_jwt,yes,no,yes,yes,yes,yes,no,no,no,,GET /messages/conversations; GET /messages/conversations/{conversation_id}; POST /messages/conversations; GET /messages/conversations/{conversation_id}/messages,src/core/api/messaging_routes.py
Core API,Unified Core Platform,oauth_routes.py,/oauth,read/list | create/action,7,none,no,yes,yes,yes,yes,yes,yes,yes,yes,,GET /oauth/providers; GET /oauth/google/start; GET /oauth/google/callback; POST /oauth/google/token,src/core/api/oauth_routes.py
Core API,Unified Core Platform,premium_reports_routes.py,/reports,read/list | create/action | review | reporting | clients,7,core_jwt,yes,no,yes,yes,yes,yes,no,no,no,,POST /reports/generate; GET /reports/download/{session_id}; GET /reports/tiers; GET /reports/sections/{tier},src/core/api/premium_reports_routes.py
Core API,Unified Core Platform,recommendations_routes.py,/recommendations,read/list | create/action | update | delete,11,core_jwt,yes,no,yes,yes,yes,yes,no,no,no,,GET /recommendations; GET /recommendations/my; GET /recommendations/actionable; GET /recommendations/{recommendation_id},src/core/api/recommendations_routes.py
Core API,Unified Core Platform,scenarios_routes.py,/scenarios,read/list | create/action | update | delete | scenarios,11,core_jwt,yes,no,yes,yes,yes,yes,no,no,no,,GET /scenarios; GET /scenarios/my; GET /scenarios/{scenario_id}; POST /scenarios,src/core/api/scenarios_routes.py
Core API,Unified Core Platform,tax_returns_routes.py,/tax-returns,read/list | create/action | update | delete | submission | returns,8,core_jwt,yes,no,yes,yes,yes,yes,no,no,no,,GET /tax-returns; GET /tax-returns/my; GET /tax-returns/{return_id}; POST /tax-returns,src/core/api/tax_returns_routes.py
Core API,Unified Core Platform,users_routes.py,/users,read/list | create/action | update | clients,15,core_jwt,yes,no,yes,yes,yes,yes,no,no,no,,GET /users/me; PATCH /users/me; GET /users/{user_id}; PATCH /users/{user_id},src/core/api/users_routes.py
Web Routers/UI,Admin Web APIs,admin_api_keys_api.py,/api/admin/api-keys,read/list | create/action | update | delete,8,firm_admin_gate,no,no,no,no,no,no,partial(partner_only),no,no,,GET /api/admin/api-keys; POST /api/admin/api-keys; GET /api/admin/api-keys/scopes; GET /api/admin/api-keys/{key_id},src/web/routers/admin_api_keys_api.py
Web Routers/UI,Admin Web APIs,admin_compliance_api.py,/api/admin/compliance,read/list | create/action | status | reporting,9,platform_admin_gate,no,no,no,no,no,no,no,yes,no,,GET /api/admin/compliance/reports; POST /api/admin/compliance/reports; GET /api/admin/compliance/reports/{report_id}; GET /api/admin/compliance/alerts,src/web/routers/admin_compliance_api.py
Web Routers/UI,Admin Web APIs,admin_impersonation_api.py,/api/admin/impersonation,read/list | create/action,6,platform_admin_gate,yes,no,no,no,no,no,no,yes,no,,POST /api/admin/impersonation/start; POST /api/admin/impersonation/end; GET /api/admin/impersonation/active; GET /api/admin/impersonation/history,src/web/routers/admin_impersonation_api.py
Web Routers/UI,Admin Web APIs,admin_refunds_api.py,/api/admin/refunds,read/list | create/action,7,platform_admin_gate,no,no,no,no,no,no,no,yes,no,,GET /api/admin/refunds; POST /api/admin/refunds; GET /api/admin/refunds/pending; GET /api/admin/refunds/{refund_id},src/web/routers/admin_refunds_api.py
Web Routers/UI,HTML Pages,pages.py,", admin, advisory",read/list | payments | scenarios | documents | returns | clients | settings | workflow,41,none,no,yes,yes,yes,yes,yes,yes,yes,yes,,GET /; GET /file; GET /intelligent-advisor; GET /landing,src/web/routers/pages.py
Web Routers/UI,Tax Workflow APIs,calculations.py,/api,read/list | create/action | status,8,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_DUPLICATE_AUTH_CONFLICT,POST /api/calculate/complete; POST /api/calculate-tax; POST /api/estimate; POST /api/optimize,src/web/routers/calculations.py
Web Routers/UI,Tax Workflow APIs,documents.py,/api,read/list | create/action | delete | status | documents,10,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_DUPLICATE_AUTH_CONFLICT,POST /api/upload; POST /api/upload/async; GET /api/upload/status/{task_id}; POST /api/upload/cancel/{task_id},src/web/routers/documents.py
Web Routers/UI,Tax Workflow APIs,health.py,"health, metrics",read/list,7,none,no,yes,yes,yes,yes,yes,yes,yes,yes,,GET /health; GET /health/live; GET /health/ready; GET /metrics,src/web/routers/health.py
Web Routers/UI,Tax Workflow APIs,returns.py,/api/returns,read/list | create/action | delete | approval | review | submission | queue | status | returns,11,none,no,yes,yes,yes,yes,yes,yes,yes,yes,P0_DUPLICATE_AUTH_CONFLICT,POST /api/returns/save; GET /api/returns/{return_id}; GET /api/returns; DELETE /api/returns/{return_id},src/web/routers/returns.py
Web Routers/UI,Tax Workflow APIs,scenarios.py,/api/scenarios,read/list | create/action | delete | status | scenarios,10,auth_required,yes,no,yes,yes,yes,yes,no,no,no,,POST /api/scenarios; GET /api/scenarios; GET /api/scenarios/{scenario_id}; POST /api/scenarios/{scenario_id}/calculate,src/web/routers/scenarios.py
Web Routers/UI,Tax Workflow APIs,support_api.py,/api/cpa/support,read/list | create/action | update,6,auth_required,no,no,yes,yes,yes,yes,no,no,no,,GET /api/cpa/support; POST /api/cpa/support; GET /api/cpa/support/{ticket_id}; POST /api/cpa/support/{ticket_id}/messages,src/web/routers/support_api.py
Web Routers/UI,Tax Workflow APIs,validation.py,/api,create/action,3,none,no,yes,yes,yes,yes,yes,yes,yes,yes,,POST /api/validate/fields; POST /api/validate/field/{field_name}; POST /api/suggestions,src/web/routers/validation.py
